Date;Heures;nb_masques_bien_portes;nb_masques_non_portes;Somme_avec_masques;Somme_non_masques
14/06/2000;08;13;82;1594;1603
14/06/2000;09;9;8;;
14/06/2000;10;1;57;;
14/06/2000;11;58;77;;
14/06/2000;12;93;73;;
14/06/2000;13;6;72;;
14/06/2000;14;12;61;;
14/06/2000;15;51;74;;
14/06/2000;16;62;11;;
14/06/2000;17;46;79;;
15/06/2000;08;26;80;;
15/06/2000;09;84;42;;
15/06/2000;10;61;86;;
15/06/2000;11;4;92;;
15/06/2000;12;60;39;;
15/06/2000;13;76;81;;
15/06/2000;14;43;49;;
15/06/2000;15;63;9;;
15/06/2000;16;56;39;;
15/06/2000;17;56;73;;
16/06/2000;08;82;58;;
16/06/2000;09;72;29;;
16/06/2000;10;83;41;;
16/06/2000;11;66;35;;
16/06/2000;12;59;73;;
16/06/2000;13;69;30;;
16/06/2000;14;23;36;;
16/06/2000;15;76;29;;
16/06/2000;16;89;23;;
16/06/2000;17;95;65;;
